지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,4호선,쌍문,37.648274,127.034381,52847,14.0,0.29,0.71,10.0,0
경기,4호선,고잔,37.316821,126.823094,15674,11.0,0.18,0.82,7.0,0
서울,4호선,신용산,37.52919,126.96858,45233,29.0,0.45,0.55,13.0,1
서울,4호선,상계,37.660576,127.073199,34827,12.0,0.08,0.92,6.0,3
서울,4호선,미아,37.626435,127.026151,29086,9.0,0.22,0.78,7.0,3
서울,4호선,명동,37.560955,126.986271,68791,37.0,0.54,0.46,9.0,1
서울,4호선,동작,37.503567,126.980171,3285,0.0,0.0,0.0,0.0,2
서울,4호선,동대문역사문화공원,37.565141,127.007808,35767,23.0,0.48,0.52,9.0,0
서울,4호선,동대문,37.57099,127.00925,36138,27.0,0.15,0.85,10.0,0
서울,4호선,창동,37.653315,127.048304,53185,16.0,0.19,0.81,9.0,0
서울,4호선,길음,37.603387,127.025053,39390,13.0,0.38,0.62,9.0,0
서울,4호선,한성대입구,37.58838,127.005951,25372,7.0,0.29,0.71,5.0,3
서울,4호선,혜화,37.582116,127.001929,71978,29.0,0.48,0.52,12.0,1
경기,4호선,진접,37.720472,127.203167,8493,6.0,0.33,0.67,6.0,0
서울,4호선,노원,37.656274,127.063183,41177,23.0,0.39,0.61,11.0,0
서울,4호선,남태령,37.464339,126.989081,2355,0.0,0.0,0.0,0.0,2
서울,4호선,수유,37.637727,127.025371,64683,23.0,0.39,0.61,9.0,1
서울,4호선,총신대입구,37.487521,126.982309,38594,23.0,0.48,0.52,10.0,0
서울,4호선,삼각지,37.534457,126.972992,14725,7.0,0.14,0.86,6.0,3
서울,4호선,사당,37.476263,126.981636,46885,14.0,0.43,0.57,8.0,0
서울,4호선,서울역,37.553172,126.972706,33454,22.0,0.45,0.55,10.0,0
서울,4호선,성신여대입구,37.592882,127.016908,41448,24.0,0.25,0.75,10.0,0
경기,4호선,별내별가람,37.667833,127.116167,11460,7.0,0.29,0.71,7.0,0
경기,4호선,오남,37.7054056,127.191644,9500,3.0,0.0,1.0,3.0,2
경기,4호선,경마공원,37.443987,127.007899,10410,0.0,0.0,0.0,0.0,1
서울,4호선,미아사거리,37.613276,127.030083,49663,15.0,0.4,0.6,9.0,0
서울,4호선,숙대입구,37.5447834,126.9721,27306,12.0,0.5,0.5,8.0,0
서울,5호선,신금호,37.554504,127.020403,11894,6.0,0.33,0.67,5.0,3
서울,5호선,신길,37.51763,126.914886,9580,7.0,0.29,0.71,6.0,3
서울,5호선,상일동,37.556714,127.166381,26787,10.0,0.3,0.7,8.0,0
서울,5호선,신정,37.525001,126.856176,23359,7.0,0.29,0.71,6.0,3
서울,5호선,송정,37.561201,126.812052,11626,8.0,0.25,0.75,6.0,3
서울,5호선,충정로,37.560061,126.962783,9290,13.0,0.54,0.46,6.0,0
서울,5호선,천호,37.538566,127.123539,39443,22.0,0.27,0.73,10.0,0
서울,5호선,광화문,37.571645,126.976568,65042,46.0,0.59,0.41,12.0,1
서울,5호선,명일,37.551317,127.144002,15433,11.0,0.36,0.64,9.0,0
서울,5호선,영등포시장,37.52276,126.905143,23551,21.0,0.14,0.86,6.0,3
