지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,9호선,흑석,37.508889,126.963611,17152,8.0,0.25,0.75,8.0,0
서울,경부선,가산디지털단지,37.481568,126.882628,32001,38.0,0.34,0.66,10.0,1
서울,경부선,구로,37.503178,126.882037,31723,13.0,0.38,0.62,10.0,0
서울,경부선,금천구청,37.45576,126.894344,19879,10.0,0.3,0.7,6.0,0
서울,경부선,남영,37.540597,126.971171,17627,16.0,0.38,0.62,8.0,0
서울,경부선,노량진,37.514072,126.941671,17426,19.0,0.32,0.68,9.0,0
서울,경부선,대방,37.513392,126.926407,19484,6.0,0.33,0.67,5.0,3
서울,경부선,독산,37.465994,126.889508,29846,10.0,0.2,0.8,7.0,3
서울,경부선,신길,37.517018,126.917743,14829,5.0,0.2,0.8,4.0,3
서울,경부선,신도림,37.508983,126.891513,7247,13.0,0.31,0.69,10.0,0
서울,경부선,영등포,37.515756,126.907411,84349,23.0,0.48,0.52,10.0,1
서울,경부선,용산,37.52989,126.964775,93127,30.0,0.47,0.53,12.0,1
서울,경원선,광운대,37.623635,127.061975,14198,12.0,0.33,0.67,7.0,0
서울,경원선,녹천,37.644599,127.051406,7417,2.0,0.5,0.5,2.0,2
서울,경원선,도봉,37.679441,127.045521,10497,4.0,0.0,1.0,3.0,3
서울,경원선,도봉산,37.689603,127.046047,11181,3.0,0.33,0.67,3.0,3
서울,경원선,방학,37.667471,127.044295,18491,14.0,0.29,0.71,7.0,0
서울,경원선,서빙고,37.51961,126.988358,4117,0.0,0.0,0.0,0.0,2
서울,경원선,석계,37.615206,127.065594,14098,9.0,0.22,0.78,5.0,3
서울,경원선,신이문,37.601829,127.067347,14995,4.0,0.0,1.0,4.0,3
서울,경원선,옥수,37.540514,127.018698,81,2.0,0.5,0.5,2.0,2
서울,경원선,왕십리,37.561728,127.038405,32201,20.0,0.4,0.6,13.0,0
서울,경원선,외대앞,37.596157,127.063572,20201,14.0,0.36,0.64,9.0,0
서울,경원선,용산,37.52989,126.964775,93127,30.0,0.47,0.53,12.0,1
서울,경원선,월계,37.633114,127.058835,10957,4.0,0.0,1.0,4.0,3
